Collection Date,App Name,App Developer,App Category,App Pop Rank,App Download,App Review Count,App Charge,App Limit
2021-07-05 21:30,Wacky Jelly,MondayOFF,캐주얼 게임,50,"1,000,000+",799,Free,전체이용가
2021-07-05 21:30,플레이투게더,"Haegin Co., Ltd.",캐주얼 게임,51,"5,000,000+","145,588",Free,12세 이상
2021-07-05 21:30,퍼즐 삭제 : 한 부분 지우기,Zego Global Publishing,퍼즐,52,"10,000,000+","41,068",Free,12세 이상
2021-07-05 21:30,단어호감 - 무료 워드 게임! 재미있는 퍼즐 게임,Kerun Games,단어,53,"1,000,000+","23,051",Free,전체이용가
2021-07-05 21:30,Minecraft 체험판,Mojang,아케이드,54,"100,000,000+","2,303,623",Free,전체이용가
2021-07-05 21:30,Weapon Cloner,Rollic Games,시뮬레이션,55,"1,000,000+","13,365",Free,전체이용가
2021-07-05 21:30,삼국지 전략판,Qookka Games,전략,56,"500,000+","25,695",Free,전체이용가
2021-07-05 21:30,머지 스네이크(Merge Snake!),"Wuhan Weipai Network Technology Co., Ltd.",캐주얼 게임,57,"5,000,000+","89,790",Free,전체이용가
2021-07-05 21:30,1945 공군: 슈팅 비행기게임 - 무료게임,ONESOFT,아케이드,58,"50,000,000+","998,316",Free,만 7세 이상
2021-07-05 21:30,배틀그라운드,"KRAFTON, Inc.",액션,59,"10,000,000+","1,089,968",Free,15세 이상
2021-07-05 21:30,프렌즈 마트 러시,Kakao Games Corp.,캐주얼 게임,60,"1,000+",40,Free,전체이용가
2021-07-05 21:30,Brain Riddle - Tricky Puzzles,Azura Global,퍼즐,61,"1,000,000+","1,513",Free,전체이용가
2021-07-05 21:30,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략,62,"10,000,000+","1,364,111",Free,12세 이상
2021-07-05 21:30,Bridge Race,Supersonic Studios LTD,캐주얼 게임,63,"50,000,000+","523,956",Free,전체이용가
2021-07-05 21:30,Cross Logic - 두뇌 퍼즐 게임,Gismart,퍼즐,64,"500,000+","8,303",Free,15세 이상
2021-07-05 21:30,Brain Puzzle:Tricky IQ Riddle‪s,Ruby Game Studio,퍼즐,65,"1,000,000+","6,960",Free,15세 이상
2021-07-05 21:30,사커 슈퍼스타(Soccer Super Star),Real Free Soccer,스포츠,66,"50,000,000+","553,280",Free,전체이용가
2021-07-05 21:30,숨겨진 유산,Playrix,어드벤처,67,"10,000,000+","419,734",Free,전체이용가
2021-07-05 21:30,행복의 저택,"Magic Tavern, Inc.",퍼즐,68,"50,000,000+","1,977,241",Free,전체이용가
2021-07-05 21:30,Rummikub,Kinkajoo,보드,69,"5,000,000+","177,118",Free,12세 이상
2021-07-05 21:30,지오메트리 대시 라이트 (Geometry Dash L),RobTop Games,아케이드,70,"100,000,000+","7,000,707",Free,만 3세 이상
2021-07-05 21:30,Hunting Clash: 동물사냥게임. 슈팅 시뮬레이터,Ten Square Games,시뮬레이션,71,"10,000,000+","154,855",Free,15세 이상
2021-07-05 21:30,Ball Run 2048,KAYAC Inc.,캐주얼 게임,72,"10,000,000+","41,625",Free,전체이용가
2021-07-05 21:30,Going Balls,Supersonic Studios LTD,캐주얼 게임,73,"10,000,000+","120,616",Free,12세 이상
2021-07-05 21:30,달토끼 키우기,AbleGames,시뮬레이션,74,"5,000+",151,Free,전체이용가
2021-07-05 21:30,Pokémon GO,"Niantic, Inc.",어드벤처,75,"100,000,000+","14,607,742",Free,전체이용가
2021-07-05 21:30,로데오 스템피드: 스카이 동물원 사파리,Yodo1 Games,캐주얼 게임,76,"10,000,000+","885,486",Free,전체이용가
2021-07-05 21:30,Catwalk Beauty,Smillage,캐주얼 게임,77,"10,000,000+","125,664",Free,15세 이상
2021-07-05 21:30,Horror FNF music battle: BF vs Tricky,Hungpham,음악,78,"100,000+",802,Free,전체이용가
2021-07-05 21:30,숫자로 색칠하기 - 무료 색칠 공부 및 퍼즐 게임,Better Life - Color and Draw,보드,79,"100,000,000+","1,337,578",Free,만 3세 이상
2021-07-05 21:30,캔디크러쉬사가,King,캐주얼 게임,80,"1,000,000,000+","31,609,750",Free,만 3세 이상
2021-07-05 21:30,Woodoku,Tripledot Studios Limited,퍼즐,81,"10,000,000+","142,010",Free,전체이용가
2021-07-05 21:30,Run of Life,VOODOO,아케이드,82,"5,000,000+","23,294",Free,12세 이상
2021-07-05 21:30,Tiles Hop: EDM Rush!,AMANOTES PTE LTD,음악,83,"100,000,000+","2,529,758",Free,전체이용가
2021-07-05 21:30,Heroes Inc!,Lion Studios,아케이드,84,"10,000,000+","118,424",Free,12세 이상
2021-07-05 21:30,Project Makeover,"Magic Tavern, Inc.",캐주얼 게임,85,"10,000,000+","357,901",Free,전체이용가
2021-07-05 21:30,Tile Master,Higgs Studio,보드,86,"50,000,000+","182,633",Free,전체이용가
2021-07-05 21:30,"ASolver(에이솔버) - 퍼즐을 보여 줘, 내가 풀어내겠어!",LLC JamSoft,퍼즐,87,"5,000,000+","526,418",Free,만 3세 이상
